info,classify_name,money,advantage,requirements,job_name,company
"['15k-30k ', '/北京 /', '经验1-3年 /', '本科及以上 /', '全职']",Java,15k-30k,['免费三餐 弹性工作制 工作环境好'],"['工作职责', '- 负责搜索引擎、分布式计算、大数据基础架构、CRM、工作流等的设计研发', '- 负责java相关基础架构设计，解决系统中的扩展性、安全性、高性能等问题', '\xa0', '任职要求', '- 2年以上大型web研发经验', '- 精通java，熟悉常用框架，如spring、ibatis、struts等', '- 优秀的数据库设计优化能力，至少精通一种数据库应用', '- 精通多线程及并发技术，精通socket网络编程', '- 熟悉大数据处理和高并发性能解决方案', '- 熟悉数据安全解决方案', '- 扎实的计算机基础，熟悉常用数据结构和算法', '- 熟悉linux，能熟练应用shell/python等脚本语言', '- 学习能力强，有较好的沟通能力，能迅速融入团队', '- 有搜索、数据仓库经验者优先', '- 较强的逻辑思维能力，具有较强产品意识者优先']",Java,贝壳
"['12k-15k ', '/北京 /', '经验1-3年 /', '大专及以上 /', '全职']",运营总监,12k-15k,['移动互联网'],[],运营总监,优译Uear
"['8k-15k ', '/北京 /', '经验1-3年 /', '本科及以上 /', '全职']",新媒体运营,8k-15k,"['朝阳行业,平台广阔,福利丰厚,领导有趣']","['岗位职责：', '1、负责制定企业微信、微博营销策略，提高微信、微博影响力指标；', '2、负责公司新媒体账号的日常运营，包括但不限于选题策划、图文撰写、编辑推广、粉丝互动等工作；', '3、参与公司项目线上推广方案的制定，订制传播计划，确保项目落地执行；', '4、公众号定位规划，根据目标用户，提升粉丝数量，提高关注度与粉丝活跃度，并及时与粉丝互动；', '5、紧跟新媒体发展趋势，对于标杆性新媒体长期保持关注，及时掌握新闻热点，并能快速做出反应。', '\xa0', '任职要求：', '1、影视文学、中文等相关专业本科及以上学历，具备影视数据分析的工作经验；', '2、具备良好的数据分析能力，文字表达能力强，能撰写各类型软文，影评；', '3、具备出色的创造力和丰富的想象力，并对网络流行语言与文化、流行趋势有敏锐的观察力；', '4、具有一定的电影市场感知力和行业思维；', '5、热爱内容编辑或文案工作，具备专业的职业操守，具有高度责任心，工作效率高，可以适应高强度工作，团队意识强。']",新媒体运营,智影
"['12k-20k ', '/北京 /', '经验1-3年 /', '本科及以上 /', '全职']",数据运营,12k-20k,"['成长速度快,完善福利,工作氛围好']","['工作职责：', '1.外卖业务的经营分析数据监控、数据异常分析，定位业务问题，找出提升业务运转的方法。', '2.通过建模预估未来业务发展趋势，控制风险。', '3.在过程中沉淀分析思路，整理指标分析体系，输出MRD，推动数据仓库及可视化数据产品建设。', '4.部分临时数据的探索、分析、挖掘等工作。', '岗位要求：', '1.统招本科以上学历。', '2.二年以上互联网数据分析或数据产品经验。', '3.熟练掌握使用SQL,EXCEL,SPSS等工具。', '4.较好的抗压能力，热爱数据分析工作，喜欢思考探究数据关系。']",数据运营,美团点评
"['8k-15k ', '/北京 /', '经验3-5年 /', '大专及以上 /', '全职']",平面设计师,8k-15k,"['弹性工作,周末双休,五险一金,免费零食']","['职责描述：', '参与前期创意，构想设计风格和视觉表现；', '根据前期分镜脚本，使用图形或平面元素设计画面；', '参与多种平面类设计。', '任职要求：', '喜欢图形设计与视觉设计；', '对画面构成和色彩有较好的控制力；', '善于将内容、信息进行视觉设计展现；', '对视觉形式富有创新能力；', '熟练使用AI、PS。', '公司福利：五险一金、超长带薪假期、免费零食、弹性工作时间、每年国内外旅游、每月团建活动…']",资深平面设计师,Infini Studio
"['10k-20k ', '/北京 /', '经验1-3年 /', '本科及以上 /', '全职']",UI设计师,10k-20k,"['补充医疗,工作餐,带薪年假,交通补贴']","['岗位职责：', '1、制定并维护详细的产品 UI 设计规范', '2、在理解需求的基础上合理的完成产品 UI 设计', '3、持续跟踪产品实现效果，参与监督与验收研发团队的实现效果', '任职要求：', '1、有 ToB 产品的 UI 设计经验', '2、优秀的理解能力', '3、有较强的责任心']",UI设计师,长亭科技
"['6k-8k ', '/北京 /', '经验1-3年 /', '大专及以上 /', '全职']",网页设计师,6k-8k,['五险一金、绩效奖金、'],"['\xa0', '岗位职责： ', '负责品牌商家在京东、天猫等电商网站上的商品页面以及促销活动的创意设计。 ', '岗位要求： ', '1.2年以上视觉设计从业经验。有电商类经验从优。 ', '2.了解互联网、电商视觉设计以及上线操作，擅长把握各种设计风格。 ', '3.熟练操作相关设计软件（PS、AI等），具备手绘能力者最佳。 ', '4.具备良好合作态度及团队精神，并富有工作激情、创造力和责任感。']",网页设计师,运营宝
